  PID TTY           TIME CMD
    1 ??         0:03.43 /sbin/launchd
   40 ??         0:00.67 /usr/sbin/syslogd
   41 ??         0:00.69 /usr/libexec/UserEventAgent (System)
   43 ??         0:02.29 /usr/libexec/kextd
   44 ??         0:01.37 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   46 ??         0:00.02 /usr/libexec/thermald
   48 ??         0:00.85 /usr/libexec/configd
   49 ??         0:00.10 /System/Library/CoreServices/appleeventsd --server
   50 ??         0:00.35 /System/Library/CoreServices/powerd.bundle/powerd
   53 ??         0:01.15 /usr/libexec/airportd
   54 ??         0:00.12 /usr/libexec/warmd
   56 ??         0:18.80 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   60 ??         0:00.04 /System/Library/CoreServices/iconservicesd
   61 ??         0:00.02 /System/Library/CoreServices/iconservicesagent
   62 ??         0:00.13 /usr/libexec/diskarbitrationd
   66 ??         0:00.65 /usr/libexec/coreduetd
   67 ??         0:00.02 /usr/libexec/wdhelper
   69 ??         0:00.08 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
   70 ??         0:02.65 /usr/libexec/opendirectoryd
   71 ??         0:00.07 /usr/sbin/wirelessproxd
   73 ??         0:00.46 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   74 ??         0:00.19 /usr/sbin/httpd -D FOREGROUND
   75 ??         0:01.76 /System/Library/CoreServices/launchservicesd
   76 ??         0:00.06 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   77 ??         0:00.92 /usr/sbin/securityd -i
   79 ??         0:00.68 /usr/libexec/locationd
   82 ??         0:00.02 autofsd
   83 ??         0:00.63 /usr/sbin/blued
   87 ??         0:00.27 /usr/sbin/mDNSResponder
   89 ??         0:00.01 /usr/libexec/stackshot -t -O
   90 ??         0:00.10 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   91 ??         0:00.88 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   92 ??         0:00.02 /System/Library/CoreServices/logind
   93 ??         0:00.01 /usr/sbin/KernelEventAgent
   95 ??         0:04.59 /usr/libexec/hidd
   96 ??         0:01.34 /usr/sbin/notifyd
   97 ??         0:01.37 /usr/libexec/taskgated -s
  100 ??         0:00.20 /usr/sbin/distnoted daemon
  122 ??         0:00.04 /usr/libexec/diagnosticd
  123 ??         0:00.97 /usr/sbin/cfprefsd daemon
  126 ??         0:00.20 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  133 ??         0:00.96 /System/Library/CoreServices/coreservicesd
  164 ??         0:24.39 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
  169 ??         0:00.03 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  170 ??         0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  172 ??         0:00.05 /usr/libexec/secinitd
  188 ??         0:00.25 /usr/libexec/networkd
  189 ??         0:00.01 /usr/libexec/networkd_privileged
  190 ??         0:09.52 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  191 ??         0:00.40 /usr/libexec/findmydeviced
  192 ??         0:00.07 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  194 ??         0:00.10 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  195 ??         0:00.75 /usr/sbin/ocspd
  204 ??         0:00.09 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  211 ??         0:00.03 /usr/libexec/nsurlsessiond --privileged
  212 ??         0:00.04 /usr/libexec/usbd
  213 ??         0:00.04 /usr/libexec/nehelper
  214 ??         0:00.02 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  215 ??         0:00.15 /usr/libexec/corestoraged
  216 ??         0:00.13 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
  219 ??         0:04.35 sysmond
  220 ??         0:00.00 /usr/sbin/httpd -D FOREGROUND
  222 ??         0:00.02 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  224 ??         0:00.04 /usr/libexec/nsurlstoraged
  226 ??         0:00.17 /usr/libexec/securityd_service
  228 ??         0:00.59 /usr/libexec/UserEventAgent (Aqua)
  230 ??         0:00.99 /usr/sbin/distnoted agent
  232 ??         0:00.95 /usr/sbin/cfprefsd agent
  234 ??         0:08.79 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal -psn_0_20485
  237 ??         0:04.77 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome -psn_0_24582
  238 ??         0:00.90 /usr/libexec/amfid
  239 ??         0:05.84 /Applications/Utilities/Activity Monitor.app/Contents/MacOS/Activity Monitor -psn_0_28679
  240 ??         0:01.00 /Applications/System Preferences.app/Contents/MacOS/System Preferences -psn_0_32776
  243 ??         0:02.40 /Applications/Brackets.app/Contents/MacOS/Brackets -psn_0_40970
  245 ??         0:01.23 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  247 ??         0:00.67 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  250 ??         0:48.18 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  253 ??         0:00.36 /usr/sbin/coreaudiod
  256 ??         0:00.03 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  257 ??         0:00.06 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  260 ??         0:00.01 /usr/sbin/pboard
  261 ??         0:00.15 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  262 ??         0:01.35 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  263 ??         0:00.10 /System/Library/CoreServices/backupd.bundle/Contents/Resources/TMCacheDelete
  265 ??         0:02.58 /usr/libexec/sharingd
  266 ??         0:00.37 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  267 ??         0:00.27 /usr/libexec/pkd
  268 ??         0:00.22 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  270 ??         0:01.87 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  271 ??         0:00.25 /usr/libexec/secd
  272 ??         0:02.14 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  273 ??         0:07.07 /usr/sbin/usernoted
  274 ??         0:00.08 /System/Library/CoreServices/iconservicesagent
  275 ??         0:00.13 /usr/libexec/gamecontrollerd
  276 ??         0:00.05 /System/Library/CoreServices/lsuseractivityd
  277 ??         0:00.32 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  280 ??         0:04.20 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  282 ??         0:00.06 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
